period,name,county,subcounty,ward,Teen pregnancy (10 to 19 years),Teen pregnancy (10 to 14 years),Teen pregnancy (15 to 19 years)
2018Q3,Jul to Sep 2018,Turkana County,Turkana Central Sub County,Kang'atotha Ward,92,10,82
2018Q3,Jul to Sep 2018,Kirinyaga County,Kirinyaga North/Mwea West Sub County,Kangai Ward,8,2,6
2018Q3,Jul to Sep 2018,Muranga County,Kigumo Sub County,Kangari Ward,52,0,52
2018Q3,Jul to Sep 2018,Nairobi County,Westlands Sub County,Kangemi Ward,121,1,120
2018Q3,Jul to Sep 2018,Meru County,Igembe Central Sub County,Kangeta Ward,132,1,131
2018Q3,Jul to Sep 2018,Machakos County,Kangundo Sub County,Kangundo Central Ward,65,0,65
2018Q3,Jul to Sep 2018,Machakos County,Kangundo Sub County,Kangundo East Ward,30,0,30
2018Q3,Jul to Sep 2018,Machakos County,Kangundo Sub County,Kangundo North Ward,39,1,38
2018Q3,Jul to Sep 2018,Machakos County,Kangundo Sub County,Kangundo West Ward,59,2,57
2018Q3,Jul to Sep 2018,Nyandarua County,Olkalou Sub County,Kanjuiri Range Ward,35,0,35
2018Q3,Jul to Sep 2018,Meru County,Igembe South Sub County,Kanuni Ward,210,6,204
2018Q3,Jul to Sep 2018,Homa Bay County,Ndhiwa Sub County,Kanyadoto Ward,76,7,69
2018Q3,Jul to Sep 2018,Homa Bay County,Karachuonyo Sub County,Kanyaluo Ward,42,1,41
2018Q3,Jul to Sep 2018,Homa Bay County,Ndhiwa Sub County,Kanyamwa Kologi Ward,73,2,71
2018Q3,Jul to Sep 2018,Homa Bay County,Ndhiwa Sub County,Kanyamwa Kosewe Ward,157,7,150
2018Q3,Jul to Sep 2018,Kitui County,Kitui Rural Sub County,Kanyangi Ward,21,0,21
2018Q3,Jul to Sep 2018,Migori County,Nyatike Sub County,Kanyasa Ward,36,2,34
2018Q3,Jul to Sep 2018,Kirinyaga County,Kirinyaga Central Sub County,Kanyekini Ward,43,0,43
2018Q3,Jul to Sep 2018,Muranga County,Kangema Sub County,Kanyenya-ini Ward,8,0,8
2018Q3,Jul to Sep 2018,Homa Bay County,Ndhiwa Sub County,Kanyikela Ward,25,2,23
2018Q3,Jul to Sep 2018,Kitui County,Kitui South Sub County,Kanziku Ward,31,0,31
2018Q3,Jul to Sep 2018,Elgeyo Marakwet County,Keiyo North Sub County,Kapchemutwa Ward,117,5,112
2018Q3,Jul to Sep 2018,West Pokot County,Pokot North Sub County,Kapchok Ward,40,2,38
2018Q3,Jul to Sep 2018,Nandi County,Nandi Hills Sub County,Kapchorua Ward,52,12,40
2018Q3,Jul to Sep 2018,Turkana County,Turkana East Sub County,Kapedo/Napeitom Ward,9,0,9
2018Q3,Jul to Sep 2018,West Pokot County,West Pokot Sub County,Kapenguria Ward,324,12,312
2018Q3,Jul to Sep 2018,Nandi County,Emgwen Sub County,Kapkangani Ward,70,3,67
2018Q3,Jul to Sep 2018,Bungoma County,Cheptais Sub County,Kapkateny Ward,61,2,59
2018Q3,Jul to Sep 2018,Kericho County,Bureti Sub County,Kapkatet Ward,151,4,147
2018Q3,Jul to Sep 2018,Kericho County,Ainamoi Sub County,Kapkugerwet Ward,34,0,34
2018Q3,Jul to Sep 2018,Nakuru County,Nakuru West Sub County,Kapkures Ward,84,1,83
2018Q3,Jul to Sep 2018,Uasin Gishu County,Soy Sub County,Kapkures Ward,50,1,49
2018Q3,Jul to Sep 2018,Trans Nzoia County,Cherangany Sub County,Kaplamai Ward,75,1,74
2018Q3,Jul to Sep 2018,Kericho County,Sigowet/Soin Sub County,Kaplelartet Ward,81,42,39
2018Q3,Jul to Sep 2018,Bomet County,Sotik Sub County,Kapletundo Ward,88,0,88
2018Q3,Jul to Sep 2018,Trans Nzoia County,Kwanza Sub County,Kapomboi Ward,184,6,178
2018Q3,Jul to Sep 2018,Baringo County,Baringo Central Sub County,Kapropita Ward,4,0,4
2018Q3,Jul to Sep 2018,Nandi County,Emgwen Sub County,Kapsabet Ward,276,7,269
2018Q3,Jul to Sep 2018,Kericho County,Ainamoi Sub County,Kapsaos Ward,104,4,100
2018Q3,Jul to Sep 2018,Uasin Gishu County,Turbo Sub County,Kapsaos Ward,36,2,34
2018Q3,Jul to Sep 2018,Narok County,Transmara East Sub County,Kapsasian Ward,52,0,52
2018Q3,Jul to Sep 2018,Nandi County,Tinderet Sub County,Kapsimwotwo Ward,18,3,15
2018Q3,Jul to Sep 2018,Kericho County,Ainamoi Sub County,Kapsoit Ward,31,2,29
2018Q3,Jul to Sep 2018,Elgeyo Marakwet County,Marakwet West Sub County,Kapsowar Ward,48,0,48
2018Q3,Jul to Sep 2018,Uasin Gishu County,Ainabkoi Sub County,Kapsoya Ward,205,0,205
2018Q3,Jul to Sep 2018,Kericho County,Belgut Sub County,Kapsuser Ward,16,0,16
2018Q3,Jul to Sep 2018,Uasin Gishu County,Ainabkoi Sub County,Kaptagat Ward,100,4,96
2018Q3,Jul to Sep 2018,Bungoma County,Mt Elgon Sub County,Kaptama Ward,156,1,155
2018Q3,Jul to Sep 2018,Elgeyo Marakwet County,Keiyo South Sub County,Kaptarakwa Ward,13,4,9
2018Q3,Jul to Sep 2018,Nandi County,Chesumei Sub County,Kaptel/Kamoiywo Ward,106,0,106
2018Q3,Jul to Sep 2018,Nakuru County,Nakuru West Sub County,Kaptembwo Ward,42,8,34
2018Q3,Jul to Sep 2018,Nandi County,Aldai Sub County,Kaptumo/Kaboi Ward,130,0,130
2018Q3,Jul to Sep 2018,Kajiado County,Kajiado East Sub County,Kaputiei North Ward,119,9,110
2018Q3,Jul to Sep 2018,Turkana County,Turkana South Sub County,Kaputir Ward,24,0,24
2018Q3,Jul to Sep 2018,Elgeyo Marakwet County,Marakwet East Sub County,Kapyego Ward,31,0,31
2018Q3,Jul to Sep 2018,Kiambu County,Kikuyu Sub County,Karai Ward,17,0,17
2018Q3,Jul to Sep 2018,Meru County,Tigania East Sub County,Karama Ward,28,1,27
2018Q3,Jul to Sep 2018,Marsabit County,Saku Sub County,Karare Ward,42,1,41
2018Q3,Jul to Sep 2018,Nyeri County,Mathira East Sub County,Karatina Town Ward,17,0,17
2018Q3,Jul to Sep 2018,Nyandarua County,Olkalou Sub County,Karau Ward,5,0,5
2018Q3,Jul to Sep 2018,Nairobi County,Langata Sub County,Karen Ward,37,13,24
2018Q3,Jul to Sep 2018,Marsabit County,Laisamis Sub County,Kargi/South Horr Ward,0,0,0
2018Q3,Jul to Sep 2018,Muranga County,Gatanga Sub County,Kariara Ward,80,0,80
2018Q3,Jul to Sep 2018,Nyeri County,Nyeri South Sub County,Karima Ward,7,0,7
2018Q3,Jul to Sep 2018,Tharaka Nithi County,Chuka Sub County,Karingani Ward,60,0,60
2018Q3,Jul to Sep 2018,Nairobi County,Embakasi North Sub County,Kariobangi North Ward,150,3,147
2018Q3,Jul to Sep 2018,Nairobi County,Embakasi West Sub County,Kariobangi South Ward,49,3,46
2018Q3,Jul to Sep 2018,Kirinyaga County,Kirinyaga West Sub County,Kariti Ward,36,0,36
2018Q3,Jul to Sep 2018,Kirinyaga County,Kirinyaga East Sub County,Karumandi Ward,2,0,2
2018Q3,Jul to Sep 2018,Uasin Gishu County,Moiben Sub County,Karuna/Meibeki Ward,34,0,34
2018Q3,Jul to Sep 2018,Nairobi County,Westlands Sub County,Karura Ward,71,1,70
2018Q3,Jul to Sep 2018,Kiambu County,Kiambaa Sub County,Karuri Ward,79,0,79
2018Q3,Jul to Sep 2018,Nairobi County,Kasarani Sub County,Kasarani Ward,42,0,42
2018Q3,Jul to Sep 2018,West Pokot County,Pokot North Sub County,Kasei Ward,48,3,45
2018Q3,Jul to Sep 2018,Kwale County,Kinango Sub County,Kasemeni Ward,194,3,191
2018Q3,Jul to Sep 2018,Homa Bay County,Mbita Sub County,Kasgunga Ward,74,7,67
2018Q3,Jul to Sep 2018,Taita Taveta County,Voi Sub County,Kasigau Ward,65,0,65
2018Q3,Jul to Sep 2018,Makueni County,Kilome Sub County,Kasikeu Ward,199,1,198
2018Q3,Jul to Sep 2018,Machakos County,Yatta Sub County,Katangi Ward,91,2,89
2018Q3,Jul to Sep 2018,Machakos County,Kathiani Sub County,Kathiani Central Ward,97,1,96
2018Q3,Jul to Sep 2018,Makueni County,Makueni Sub County,Kathonzweni Ward,72,9,63
2018Q3,Jul to Sep 2018,Turkana County,Turkana East Sub County,Katilia Ward,47,1,46
2018Q3,Jul to Sep 2018,Turkana County,Turkana South Sub County,Katilu Ward,132,0,132
2018Q3,Jul to Sep 2018,Kitui County,Kitui West Sub County,Kauwi Ward,710,292,418
2018Q3,Jul to Sep 2018,Nairobi County,Dagoretti North Sub County,Kawangware Ward,193,0,193
2018Q3,Jul to Sep 2018,Kilifi County,Kaloleni Sub County,Kayafungo Ward,203,0,203
2018Q3,Jul to Sep 2018,Nairobi County,Embakasi Central Sub County,Kayole Central Ward,142,2,140
2018Q3,Jul to Sep 2018,Nairobi County,Embakasi Central Sub County,Kayole North Ward,138,59,79
2018Q3,Jul to Sep 2018,Nairobi County,Embakasi Central Sub County,Kayole South Ward,99,38,61
2018Q3,Jul to Sep 2018,Kericho County,Kipkelion East Sub County,Kedowa/Kimugul Ward,179,2,177
2018Q3,Jul to Sep 2018,Makueni County,Kaiti Sub County,Kee Ward,21,1,20
2018Q3,Jul to Sep 2018,Kajiado County,Kajiado West Sub County,Keekonyokie Ward,147,11,136
2018Q3,Jul to Sep 2018,Narok County,Narok East Sub County,Keekonyokie Ward,135,3,132
2018Q3,Jul to Sep 2018,Kisii County,Kitutu Chache North Sub County,Kegogi Ward,82,0,82
2018Q3,Jul to Sep 2018,Trans Nzoia County,Kwanza Sub County,Keiyo Ward,144,1,143
2018Q3,Jul to Sep 2018,Bomet County,Bomet East Sub County,Kembu Ward,110,1,109
2018Q3,Jul to Sep 2018,Nandi County,Aldai Sub County,Kemeloi-maraba Ward,67,1,66
2018Q3,Jul to Sep 2018,Homa Bay County,Karachuonyo Sub County,Kendu Bay Town Ward,249,11,238
2018Q3,Jul to Sep 2018,Kajiado County,Kajiado East Sub County,Kenyawa-poka Ward,41,13,28
2018Q3,Jul to Sep 2018,Nakuru County,Kuresoi South Sub County,Keringet Ward,126,5,121
2018Q3,Jul to Sep 2018,Turkana County,Turkana Central Sub County,Kerio Delta Ward,54,1,53
2018Q3,Jul to Sep 2018,Kirinyaga County,Kirinyaga Central Sub County,Kerugoya Ward,157,1,156
2018Q3,Jul to Sep 2018,Kisii County,Nyaribari Chache Sub County,Keumbu Ward,74,1,73
2018Q3,Jul to Sep 2018,Narok County,Transmara West Sub County,Keyian Ward,72,0,72
2018Q3,Jul to Sep 2018,Bungoma County,Kanduyi Sub County,Khalaba Ward,30,1,29
2018Q3,Jul to Sep 2018,Kakamega County,Matungu Sub County,Khalaba Ward,179,0,179
2018Q3,Jul to Sep 2018,Mandera County,Mandera East Sub County,Khalalio Ward,112,0,112
2018Q3,Jul to Sep 2018,Bungoma County,Bumula Sub County,Khasoko Ward,14,0,14
2018Q3,Jul to Sep 2018,Kakamega County,Matungu Sub County,Kholera Ward,105,2,103
2018Q3,Jul to Sep 2018,Wajir County,Wajir East Sub County,Khorof/Harar Ward,11,0,11
2018Q3,Jul to Sep 2018,Nyamira County,Borabu Sub County,Kiabonyoru Ward,70,1,69
2018Q3,Jul to Sep 2018,Meru County,Imenti Central Sub County,Kiagu Ward,25,2,23
2018Q3,Jul to Sep 2018,Nairobi County,Mathare Sub County,Kiamaiko Ward,22,0,22
2018Q3,Jul to Sep 2018,Nakuru County,Nakuru North Sub County,Kiamaina Ward,50,0,50
2018Q3,Jul to Sep 2018,Embu County,Mbeere South Sub County,Kiambere Ward,12,0,12
2018Q3,Jul to Sep 2018,Kisii County,Nyaribari Masaba Sub County,Kiamokama Ward,25,0,25
2018Q3,Jul to Sep 2018,Kiambu County,Gatundu South Sub County,Kiamwangi Ward,57,14,43
2018Q3,Jul to Sep 2018,Meru County,Tigania West Sub County,Kianjai Ward,59,3,56
2018Q3,Jul to Sep 2018,Kilifi County,Kilifi North Sub County,Kibarani Ward,72,0,72
2018Q3,Jul to Sep 2018,Machakos County,Mwala Sub County,Kibauni Ward,16,0,16
2018Q3,Jul to Sep 2018,Bungoma County,Kimilili Sub County,Kibingei Ward,336,3,333
2018Q3,Jul to Sep 2018,Homa Bay County,Karachuonyo Sub County,Kibiri Ward,41,0,41
2018Q3,Jul to Sep 2018,Meru County,Buuri Sub County,Kibirichia Ward,34,2,32
2018Q3,Jul to Sep 2018,Turkana County,Kibish Sub County,Kibish Ward,66,10,56
2018Q3,Jul to Sep 2018,Meru County,Igembe South Sub County,Kiegoi/Antubochiu Ward,41,2,39
2018Q3,Jul to Sep 2018,Kiambu County,Gatundu South Sub County,Kiganjo Ward,77,0,77
2018Q3,Jul to Sep 2018,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,73,4,69
2018Q3,Jul to Sep 2018,Muranga County,Kigumo Sub County,Kigumo Ward,58,0,58
2018Q3,Jul to Sep 2018,Kiambu County,Kiambaa Sub County,Kihara Ward,75,1,74
2018Q3,Jul to Sep 2018,Nakuru County,Njoro Sub County,Kihingo Ward,90,1,89
2018Q3,Jul to Sep 2018,Muranga County,Gatanga Sub County,Kihumbu-ini Ward,30,0,30
2018Q3,Jul to Sep 2018,Kirinyaga County,Kirinyaga West Sub County,Kiine Ward,84,0,84
2018Q3,Jul to Sep 2018,Meru County,Buuri Sub County,Kiirua/Naari Ward,29,0,29
2018Q3,Jul to Sep 2018,Kiambu County,Lari Sub County,Kijabe Ward,25,0,25
2018Q3,Jul to Sep 2018,Makueni County,Kibwezi West Sub County,Kikumbulyu North Ward,26,0,26
2018Q3,Jul to Sep 2018,Makueni County,Kibwezi West Sub County,Kikumbulyu South Ward,33,1,32
2018Q3,Jul to Sep 2018,Kiambu County,Kikuyu Sub County,Kikuyu Ward,24,14,10
2018Q3,Jul to Sep 2018,Nairobi County,Dagoretti North Sub County,Kileleshwa Ward,25,0,25
2018Q3,Jul to Sep 2018,Narok County,Transmara West Sub County,Kilgoris Central Ward,117,3,114
2018Q3,Jul to Sep 2018,Nandi County,Emgwen Sub County,Kilibwoni Ward,88,17,71
2018Q3,Jul to Sep 2018,Nairobi County,Dagoretti North Sub County,Kilimani Ward,10,0,10
2018Q3,Jul to Sep 2018,Makueni County,Kaiti Sub County,Kilungu Ward,82,0,82
2018Q3,Jul to Sep 2018,Mandera County,Banissa Sub County,Kilwehiri Ward,128,20,108
2018Q3,Jul to Sep 2018,Makueni County,Kilome Sub County,Kima Kiu/Kalanzoni Ward,61,0,61
2018Q3,Jul to Sep 2018,Bungoma County,Bumula Sub County,Kimaeti Ward,78,1,77
2018Q3,Jul to Sep 2018,Kajiado County,Loitokitok Sub County,Kimana Ward,169,8,161
2018Q3,Jul to Sep 2018,Bungoma County,Kimilili Sub County,Kimilili Ward,78,4,74
2018Q3,Jul to Sep 2018,Trans Nzoia County,Kiminini Sub County,Kiminini Ward,87,0,87
2018Q3,Jul to Sep 2018,Narok County,Transmara West Sub County,Kimintet Ward,105,6,99
2018Q3,Jul to Sep 2018,Muranga County,Muranga South Sub County,Kimorori/Wempa Ward,34,0,34
2018Q3,Jul to Sep 2018,Bomet County,Konoin Sub County,Kimulot Ward,61,0,61
2018Q3,Jul to Sep 2018,Uasin Gishu County,Moiben Sub County,Kimumu Ward,325,28,297
2018Q3,Jul to Sep 2018,Tana River County,Galole Sub County,Kinakomba Ward,29,0,29
2018Q3,Jul to Sep 2018,Kiambu County,Lari Sub County,Kinale Ward,14,0,14
2018Q3,Jul to Sep 2018,Kwale County,Kinango Sub County,Kinango Ward,102,17,85
2018Q3,Jul to Sep 2018,Machakos County,Athi River Sub County,Kinanie Ward,37,0,37
2018Q3,Jul to Sep 2018,Busia County,Butula Sub County,Kingandole Ward,114,35,79
2018Q3,Jul to Sep 2018,Meru County,Tigania East Sub County,Kinguchwa Ward,117,0,117
2018Q3,Jul to Sep 2018,Isiolo County,Garbatulla Sub County,Kinna Ward,32,0,32
2018Q3,Jul to Sep 2018,Kwale County,Msambweni Sub County,Kinondo Ward,118,0,118
2018Q3,Jul to Sep 2018,Kiambu County,Kikuyu Sub County,Kinoo Ward,0,0,0
2018Q3,Jul to Sep 2018,Muranga County,Kigumo Sub County,Kinyona Ward,11,0,11
2018Q3,Jul to Sep 2018,Trans Nzoia County,Saboti Sub County,Kinyoro Ward,147,2,145
2018Q3,Jul to Sep 2018,Kisii County,Nyaribari Chache Sub County,Kiogoro Ward,113,2,111
2018Q3,Jul to Sep 2018,Kitui County,Mwingi West Sub County,Kiomo/Kyethani Ward,65,0,65
2018Q3,Jul to Sep 2018,Kericho County,Ainamoi Sub County,Kipchebor Ward,266,7,259
2018Q3,Jul to Sep 2018,Kericho County,Ainamoi Sub County,Kipchimchim Ward,3,0,3
2018Q3,Jul to Sep 2018,Mombasa County,Changamwe Sub County,Kipevu Ward,0,0,0
2018Q3,Jul to Sep 2018,Tana River County,Garsen Sub County,Kipini East Ward,56,2,54
2018Q3,Jul to Sep 2018,Tana River County,Garsen Sub County,Kipini West Ward,74,1,73
2018Q3,Jul to Sep 2018,Nyandarua County,Kipipiri Sub County,Kipipiri Ward,24,0,24
2018Q3,Jul to Sep 2018,Nandi County,Mosop Sub County,Kipkaren Ward,33,0,33
2018Q3,Jul to Sep 2018,Kericho County,Kipkelion West Sub County,Kipkelion Ward,106,4,102
2018Q3,Jul to Sep 2018,Uasin Gishu County,Kapseret Sub County,Kipkenyo Ward,61,0,61
2018Q3,Jul to Sep 2018,Uasin Gishu County,Turbo Sub County,Kiplombe Ward,75,1,74
2018Q3,Jul to Sep 2018,Bomet County,Bomet East Sub County,Kipreres Ward,79,25,54
2018Q3,Jul to Sep 2018,Uasin Gishu County,Soy Sub County,Kipsomba Ward,60,0,60
2018Q3,Jul to Sep 2018,Bomet County,Sotik Sub County,Kipsonoi Ward,36,2,34
2018Q3,Jul to Sep 2018,Nakuru County,Kuresoi South Sub County,Kiptagich Ward,144,1,143
2018Q3,Jul to Sep 2018,Nakuru County,Kuresoi North Sub County,Kiptororo Ward,239,3,236
2018Q3,Jul to Sep 2018,Nandi County,Chesumei Sub County,Kiptuiya Ward,35,0,35
2018Q3,Jul to Sep 2018,Embu County,Manyatta Sub County,Kirimari Ward,62,1,61
2018Q3,Jul to Sep 2018,Nyeri County,Mathira West Sub County,Kirimukuyu Ward,9,0,9
2018Q3,Jul to Sep 2018,Nyandarua County,Ndaragwa Sub County,Kiritta Ward,35,2,33
2018Q3,Jul to Sep 2018,Muranga County,Mathioya Sub County,Kiru Ward,49,0,49
2018Q3,Jul to Sep 2018,Kakamega County,Khwisero Sub County,Kisa Central Ward,27,0,27
2018Q3,Jul to Sep 2018,Kakamega County,Khwisero Sub County,Kisa East Ward,29,0,29
2018Q3,Jul to Sep 2018,Kakamega County,Khwisero Sub County,Kisa North Ward,38,0,38
2018Q3,Jul to Sep 2018,Kakamega County,Khwisero Sub County,Kisa West Ward,34,0,34
2018Q3,Jul to Sep 2018,Baringo County,Mogotio Sub County,Kisanana Ward,83,0,83
2018Q3,Jul to Sep 2018,Kitui County,Kitui Rural Sub County,Kisasi Ward,115,5,110
2018Q3,Jul to Sep 2018,Kericho County,Bureti Sub County,Kisiara Ward,104,2,102
2018Q3,Jul to Sep 2018,Kisii County,Nyaribari Chache Sub County,Kisii Central Ward,37,0,37
2018Q3,Jul to Sep 2018,Meru County,Buuri Sub County,Kisima Ward,35,2,33
2018Q3,Jul to Sep 2018,Kisumu County,Kisumu West Sub County,Kisumu North Ward,23,0,23
2018Q3,Jul to Sep 2018,Kajiado County,Kajiado East Sub County,Kitengela Ward,46,0,46
2018Q3,Jul to Sep 2018,Makueni County,Mbooni Sub County,Kiteta-kisau Ward,93,2,91
2018Q3,Jul to Sep 2018,Machakos County,Yatta Sub County,Kithimani Ward,63,1,62
2018Q3,Jul to Sep 2018,Embu County,Manyatta Sub County,Kithimu Ward,30,0,30
2018Q3,Jul to Sep 2018,Makueni County,Mbooni Sub County,Kithungo/Kitundu Ward,56,0,56
2018Q3,Jul to Sep 2018,Makueni County,Makueni Sub County,Kitise/Kithuki Ward,58,3,55
2018Q3,Jul to Sep 2018,Nairobi County,Westlands Sub County,Kitisuru Ward,12,0,12
2018Q3,Jul to Sep 2018,Kisii County,Kitutu Chache South Sub County,Kitutu Central Ward,231,2,229
2018Q3,Jul to Sep 2018,Lamu County,Lamu East Sub County,Kiunga Ward,4,0,4
2018Q3,Jul to Sep 2018,Kiambu County,Ruiru Sub County,Kiuu Ward,195,3,192
2018Q3,Jul to Sep 2018,Machakos County,Masinga Sub County,Kivaa Ward,104,0,104
2018Q3,Jul to Sep 2018,Kitui County,Mwingi Central Sub County,Kivou Ward,35,0,35
2018Q3,Jul to Sep 2018,Nakuru County,Nakuru East Sub County,Kivumbuni Ward,0,0,0
2018Q3,Jul to Sep 2018,West Pokot County,Pokot North Sub County,Kiwawa Ward,16,1,15
2018Q3,Jul to Sep 2018,Nandi County,Aldai Sub County,Kobujoi Ward,89,0,89
2018Q3,Jul to Sep 2018,Kisumu County,Nyando Sub County,Kobura Ward,72,3,69
2018Q3,Jul to Sep 2018,Homa Bay County,Rangwe Sub County,Kochia Ward,106,1,105
2018Q3,Jul to Sep 2018,West Pokot County,Pokot North Sub County,Kodich Ward,63,2,61
2018Q3,Jul to Sep 2018,Baringo County,Koibatek Sub County,Koibatek Ward,24,0,24
2018Q3,Jul to Sep 2018,Homa Bay County,Kabondo Kasipul Sub County,Kojwach Ward,55,2,53
2018Q3,Jul to Sep 2018,Homa Bay County,Kabondo Kasipul Sub County,Kokwanyo/Kakelo Ward,88,5,83
2018Q3,Jul to Sep 2018,Machakos County,Kalama Sub County,Kola Ward,44,0,44
2018Q3,Jul to Sep 2018,Baringo County,East Pokot Sub County,Kolowa Ward,151,47,104
2018Q3,Jul to Sep 2018,Kisumu County,Kisumu East Sub County,Kolwa Central Ward,27,0,27
2018Q3,Jul to Sep 2018,Kisumu County,Kisumu East Sub County,Kolwa East Ward,79,2,77
2018Q3,Jul to Sep 2018,Nairobi County,Embakasi Central Sub County,Komarock Ward,263,25,238
2018Q3,Jul to Sep 2018,Kiambu County,Githunguri Sub County,Komothai Ward,37,0,37
2018Q3,Jul to Sep 2018,Kisumu County,Kisumu Central Sub County,Kondele Ward,99,4,95
2018Q3,Jul to Sep 2018,Bomet County,Chepalungu Sub County,Kong'asis Ward,63,0,63
2018Q3,Jul to Sep 2018,Kakamega County,Likuyani Sub County,Kongoni Ward,8,0,8
2018Q3,Jul to Sep 2018,Mombasa County,Nyali Sub County,Kongowea Ward,59,0,59
2018Q3,Jul to Sep 2018,Nyeri County,Mathira East Sub County,Konyu Ward,6,0,6
2018Q3,Jul to Sep 2018,Nairobi County,Ruaraka Sub County,Korogocho Ward,148,1,147
2018Q3,Jul to Sep 2018,Wajir County,Wajir North Sub County,Korondile Ward,7,0,7
2018Q3,Jul to Sep 2018,Marsabit County,Laisamis Sub County,Korr/Ngurunit Ward,30,10,20
2018Q3,Jul to Sep 2018,Nandi County,Chesumei Sub County,Kosirai Ward,17,0,17
2018Q3,Jul to Sep 2018,Turkana County,Loima Sub County,Kotaruk/Lobei Ward,88,13,75
2018Q3,Jul to Sep 2018,Nandi County,Aldai Sub County,Koyo/Ndurio Ward,36,0,36
2018Q3,Jul to Sep 2018,Kakamega County,Matungu Sub County,Koyonzo Ward,125,1,124
2018Q3,Jul to Sep 2018,Kwale County,Matuga Sub County,Kubo South Ward,58,6,52
2018Q3,Jul to Sep 2018,Uasin Gishu County,Soy Sub County,Kuinet/Kapsuswa Ward,59,0,59
2018Q3,Jul to Sep 2018,Kajiado County,Loitokitok Sub County,Kuku Ward,223,12,211
2018Q3,Jul to Sep 2018,Kericho County,Kipkelion West Sub County,Kunyak Ward,36,0,36
2018Q3,Jul to Sep 2018,Nandi County,Mosop Sub County,Kurgung/Surungai Ward,9,0,9
2018Q3,Jul to Sep 2018,Mandera County,Kutulo Sub County,Kutulo Ward,79,6,73
2018Q3,Jul to Sep 2018,Nairobi County,Embakasi South Sub County,Kwa Njenga Ward,273,84,189
2018Q3,Jul to Sep 2018,Nairobi County,Embakasi South Sub County,Kwa Reuben Ward,71,0,71
2018Q3,Jul to Sep 2018,Migori County,Suna East Sub County,Kwa Ward,58,2,56
2018Q3,Jul to Sep 2018,Homa Bay County,Ndhiwa Sub County,Kwabwai Ward,134,6,128
2018Q3,Jul to Sep 2018,Kitui County,Kitui West Sub County,Kwamutonga/Kithumula Ward,9,0,9
2018Q3,Jul to Sep 2018,Trans Nzoia County,Kwanza Sub County,Kwanza Ward,246,2,244
2018Q3,Jul to Sep 2018,Nairobi County,Embakasi South Sub County,Kware Ward,7,0,7
2018Q3,Jul to Sep 2018,Kitui County,Kitui Rural Sub County,Kwavonza/Yatta Ward,93,8,85
2018Q3,Jul to Sep 2018,Kitui County,Kitui Central Sub County,Kyangwithya East Ward,63,0,63
2018Q3,Jul to Sep 2018,Kitui County,Kitui Central Sub County,Kyangwithya West Ward,30,2,28
2018Q3,Jul to Sep 2018,Machakos County,Matungulu Sub County,Kyeleni Ward,12,0,12
2018Q3,Jul to Sep 2018,Embu County,Runyenjes Sub County,Kyeni North Ward,21,9,12
2018Q3,Jul to Sep 2018,Embu County,Runyenjes Sub County,Kyeni South Ward,70,0,70
2018Q3,Jul to Sep 2018,Kitui County,Mwingi West Sub County,Kyome/Thaana Ward,39,0,39
2018Q3,Jul to Sep 2018,Kitui County,Mwingi North Sub County,Kyuso Ward,135,7,128
2018Q3,Jul to Sep 2018,Garissa County,Dadaab Sub County,Labisgale Ward,2,0,2
2018Q3,Jul to Sep 2018,Mandera County,Lafey Sub County,Lafey Ward,60,30,30
2018Q3,Jul to Sep 2018,Wajir County,Wajir South Sub County,Lagboghoi South Ward,14,1,13
2018Q3,Jul to Sep 2018,Mandera County,Mandera West Sub County,Lagsure Ward,24,0,24
2018Q3,Jul to Sep 2018,Nairobi County,Kibra Sub County,Laini Saba Ward,24,9,15
2018Q3,Jul to Sep 2018,Marsabit County,Laisamis Sub County,Laisamis Ward,26,15,11
2018Q3,Jul to Sep 2018,Nakuru County,Naivasha Sub County,Lake View Ward,5,0,5
2018Q3,Jul to Sep 2018,Turkana County,Turkana North Sub County,Lakezone Ward,24,0,24
2018Q3,Jul to Sep 2018,Wajir County,Eldas Sub County,Lakoley South/Basir Ward,0,0,0
2018Q3,Jul to Sep 2018,Homa Bay County,Mbita Sub County,Lambwe Ward,72,1,71
2018Q3,Jul to Sep 2018,Nairobi County,Starehe Sub County,Landimawe Ward,26,0,26
2018Q3,Jul to Sep 2018,Nakuru County,Nakuru North Sub County,Lanet/Umoja Ward,10,0,10
2018Q3,Jul to Sep 2018,Uasin Gishu County,Kapseret Sub County,Langas Ward,149,0,149
2018Q3,Jul to Sep 2018,Turkana County,Turkana North Sub County,Lapur Ward,50,0,50
2018Q3,Jul to Sep 2018,Nakuru County,Njoro Sub County,Lare Ward,42,0,42
2018Q3,Jul to Sep 2018,Kiambu County,Lari Sub County,Lari/Kirenga Ward,107,0,107
2018Q3,Jul to Sep 2018,Elgeyo Marakwet County,Marakwet West Sub County,Lelan Ward,45,2,43
2018Q3,Jul to Sep 2018,West Pokot County,Pokot South Sub County,Lelan Ward,121,17,104
2018Q3,Jul to Sep 2018,Nandi County,Chesumei Sub County,Lelmoko/Ngechek Ward,51,0,51
2018Q3,Jul to Sep 2018,Baringo County,Koibatek Sub County,Lembus Kwen Ward,25,2,23
2018Q3,Jul to Sep 2018,Baringo County,Koibatek Sub County,Lembus Ward,46,0,46
