period,name,county,subcounty,ward,Teen pregnancy (10 to 19 years),Teen pregnancy (10 to 14 years),Teen pregnancy (15 to 19 years)
2016Q4,Oct to Dec 2016,Nyamira County,Nyamira North Sub County,Magwagwa Ward,113,1,112
2016Q4,Oct to Dec 2016,Kakamega County,Lurambi Sub County,Mahiakalo Ward,19,0,19
2016Q4,Oct to Dec 2016,Nyeri County,Nyeri South Sub County,Mahiga Ward,1,0,1
2016Q4,Oct to Dec 2016,Taita Taveta County,Taveta Sub County,Mahoo Ward,0,0,0
2016Q4,Oct to Dec 2016,Nakuru County,Naivasha Sub County,Mai Mahiu Ward,111,1,110
2016Q4,Oct to Dec 2016,Marsabit County,North Horr Sub County,Maikona Ward,16,2,14
2016Q4,Oct to Dec 2016,Mombasa County,Mvita Sub County,Majengo Ward,34,0,34
2016Q4,Oct to Dec 2016,Narok County,Narok South Sub County,Maji Moto/Naroosura Ward,219,10,209
2016Q4,Oct to Dec 2016,Kisii County,Bomachoge Chache Sub County,Majoge Basi Ward,142,23,119
2016Q4,Oct to Dec 2016,Embu County,Mbeere South Sub County,Makima Ward,10,0,10
2016Q4,Oct to Dec 2016,Nairobi County,Kibra Sub County,Makina Ward,30,10,20
2016Q4,Oct to Dec 2016,Makueni County,Kibwezi West Sub County,Makindu Ward,138,2,136
2016Q4,Oct to Dec 2016,Nairobi County,Makadara Sub County,Makongeni Ward,21,1,20
2016Q4,Oct to Dec 2016,Trans Nzoia County,Cherangany Sub County,Makutano Ward,50,0,50
2016Q4,Oct to Dec 2016,Machakos County,Mwala Sub County,Makutano/Mwala Ward,66,2,64
2016Q4,Oct to Dec 2016,Muranga County,Muranga South Sub County,Makuyu Ward,85,1,84
2016Q4,Oct to Dec 2016,Busia County,Teso North Sub County,Malaba Central Ward,113,1,112
2016Q4,Oct to Dec 2016,Busia County,Teso North Sub County,Malaba North Ward,12,0,12
2016Q4,Oct to Dec 2016,Busia County,Teso North Sub County,Malaba South Ward,79,0,79
2016Q4,Oct to Dec 2016,Kakamega County,Mumias East Sub County,Malaha/Isongo/Makunga Ward,62,0,62
2016Q4,Oct to Dec 2016,Bungoma County,Sirisia Sub County,Malakisi/South Kulisiru Ward,98,11,87
